ID;Name;IUPAC;Sum Formula;Smiles;Solvent;N Params;E Params;sN Params;Quality;Reference;Structure
341;anion of nitroethane (in water);1-nitroethan-1-ide;C2H4NO2-;O=[N+]([CH-]C)[O-];water;11,25;;0,52;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
285;anion of dimedone (in water);4,4-dimethyl-2,6-dioxocyclohexan-1-ide;C8H11O2-;CC(CC([CH-]1)=O)(C)CC1=O;water;11,77;;0,63;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
286;anion of acetylacetone (in water);2,4-dioxopentan-3-ide;C5H7O2-;CC([CH-]C(C)=O)=O;water;13,73;;0,64;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
294;anion of 3-methyl acetylacetone (in water);3-methyl-2,4-dioxopentan-3-ide;C6H9O2-;CC([C-](C)C(C)=O)=O;water;14,33;;0,69;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
346;anion of phenylnitromethane (in H2O);nitro(phenyl)methanide;C7H6NO2-;O=[N+]([CH-]C1=CC=CC=C1)[O-];water;12,05;;0,53;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
288;anion of malononitrile (in water);dicyanomethanide;C3HN2-;N#C[CH-]C#N;water;19,5;;0,55;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
350;anion of (4-nitrophenyl)nitromethane (in water);nitro(4-nitrophenyl)methanide;C7H5N2O4-;O=[N+]([CH-]C1=CC=C([N+]([O-])=O)C=C1)[O-];water;13,58;;0,52;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
292;anion of diethyl methylmalonate (in water);1,3-diethoxy-2-methyl-1,3-dioxopropan-2-ide;C8H13O4-;O=C([C-](C)C(OCC)=O)OCC;water;17,68;;0,5;*;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
354;anion of (4-cyanophenyl)nitromethane (in water);(4-cyanophenyl)(nitro)methanide;C8H5N2O2-;O=[N+]([CH-]C1=CC=C(C#N)C=C1)[O-];water;13,23;;0,52;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
352;anion of (3-nitrophenyl)nitromethane (in water);nitro(3-nitrophenyl)methanide;C7H5N2O4-;O=[N+]([CH-]C1=CC=CC([N+]([O-])=O)=C1)[O-];water;14,25;;0,46;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
287;anion of ethyl acetylacetate (in water);1-ethoxy-1,3-dioxobutan-2-ide;C6H9O3-;CC([CH-]C(OCC)=O)=O;water;15,99;;0,62;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
342;anion of nitromethane (in water);nitromethanide;CH2NO2-;[CH2-][N+]([O-])=O;water;12,06;;0,53;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
348;anion of p-tolylnitromethane (in water);nitro(p-tolyl)methanide;C8H8NO2-;O=[N+]([CH-]C1=CC=C(C)C=C1)[O-];water;13,09;;0,5;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
290;anion of diethyl malonate (in water);1,3-diethoxy-1,3-dioxopropan-2-ide;C7H11O4-;O=C([CH-]C(OCC)=O)OCC;water;16,15;;0,66;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
289;anion of ethyl cyanoacetate (in water);1-cyano-2-ethoxy-2-oxoethan-1-ide;C5H6NO2-;N#C[CH-]C(OCC)=O;water;15,57;;0,58;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
345;anion of 2-nitropropane (in water);2-nitropropan-2-ide;C3H6NO2-;O=[N+]([C-](C)C)[O-];water;10,69;;0,56;***;"J. Org. Chem. 2004, 69, 7565-7576
https://dx.doi.org/10.1021/jo048773j";
284;anion of Meldrum's acid (in water);2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ide;C6H7O4-;CC(OC([CH-]1)=O)(C)OC1=O;water;12,06;;0,66;***;"J. Am. Chem. Soc. 2003, 125, 12980-12986
https://dx.doi.org/10.1021/ja036838e";
