Name,Smiles,N Params,sN Params
"threonine (anionic, in water)",NC(C(O)C)C([O-])=O,12.69,0.6
"leucine (anionic, in water)",NC(CC(C)C)C([O-])=O,14.01,0.52
dimethylamine (in water),[H]N(C)C,17.12,0.5
ethylenediamine (in water),NCCN,13.28,0.58
tert-butylamine (in water),[H]N(C(C)(C)C)[H],10.48,0.65
n-propylamine (in water),CCCN,13.33,0.56
ammonia (in water),[H]N([H])[H],9.48,0.59
aniline (in water),NC1=CC=CC=C1,12.99,0.73
2-methyl-imidazole (in water),,9.45,0.54
4-methoxyaniline (in water),NC1=CC=C(OC)C=C1,14.28,0.68
4-pyrrolidinopyridine (in H2O),C1(N2CCCC2)=CC=NC=C1,12.39,0.66
"glutamine (anionic, in water)",NC(CCC(N)=O)C([O-])=O,13.45,0.54
theophylline anion (in water),,10.06,0.71
1-methyl uracil anion (in water),,8.54,0.77
benzylamine (in water),NCC1=CC=CC=C1,13.44,0.55
methyl glycinate (in water),NCC(OC)=O,12.08,0.6
isopropylamine (in water),[H]N(C(C)C)[H],12.0,0.56
4-aminopyridine (in H2O),NC1=CC=NC=C1,12.19,0.66
"phenylalanine (anionic, in water)",NC(CC1=CC=CC=C1)C([O-])=O,14.12,0.53
"asparagine (anionic, in water)",NC(CC(N)=O)C([O-])=O,13.03,0.53
